country,geo,year,month,keyword,trend_score
China,CN,2018,12,BYD,0.0
China,CN,2018,12,Tesla,32.0
China,CN,2018,12,electric car,0.0
China,CN,2019,1,BYD,2.25
China,CN,2019,1,Tesla,33.25
China,CN,2019,1,electric car,0.0
China,CN,2019,2,BYD,0.0
China,CN,2019,2,Tesla,43.5
China,CN,2019,2,electric car,0.0
China,CN,2019,3,BYD,2.4
China,CN,2019,3,Tesla,51.2
China,CN,2019,3,electric car,0.0
China,CN,2019,4,BYD,2.25
China,CN,2019,4,Tesla,45.75
China,CN,2019,4,electric car,0.0
China,CN,2019,5,BYD,0.0
China,CN,2019,5,Tesla,46.0
China,CN,2019,5,electric car,0.0
China,CN,2019,6,BYD,0.0
China,CN,2019,6,Tesla,38.2
China,CN,2019,6,electric car,0.0
China,CN,2019,7,BYD,0.0
China,CN,2019,7,Tesla,34.5
China,CN,2019,7,electric car,0.0
China,CN,2019,8,BYD,0.0
China,CN,2019,8,Tesla,31.75
China,CN,2019,8,electric car,0.0
China,CN,2019,9,BYD,2.4
China,CN,2019,9,Tesla,33.6
China,CN,2019,9,electric car,0.0
China,CN,2019,10,BYD,0.0
China,CN,2019,10,Tesla,40.0
China,CN,2019,10,electric car,0.0
China,CN,2019,11,BYD,0.0
China,CN,2019,11,Tesla,63.25
China,CN,2019,11,electric car,0.0
China,CN,2019,12,BYD,0.0
China,CN,2019,12,Tesla,50.0
China,CN,2019,12,electric car,0.0
China,CN,2020,1,BYD,2.75
China,CN,2020,1,Tesla,67.25
China,CN,2020,1,electric car,0.0
China,CN,2020,2,BYD,0.0
China,CN,2020,2,Tesla,68.0
China,CN,2020,2,electric car,0.0
China,CN,2020,3,BYD,0.0
China,CN,2020,3,Tesla,54.4
China,CN,2020,3,electric car,0.0
China,CN,2020,4,BYD,0.0
China,CN,2020,4,Tesla,58.25
China,CN,2020,4,electric car,0.0
China,CN,2020,5,BYD,0.0
China,CN,2020,5,Tesla,45.2
China,CN,2020,5,electric car,0.0
China,CN,2020,6,BYD,0.0
China,CN,2020,6,Tesla,47.25
China,CN,2020,6,electric car,0.0
China,CN,2020,7,BYD,0.0
China,CN,2020,7,Tesla,54.0
China,CN,2020,7,electric car,0.0
China,CN,2020,8,BYD,0.0
China,CN,2020,8,Tesla,61.0
China,CN,2020,8,electric car,0.0
China,CN,2020,9,BYD,0.0
China,CN,2020,9,Tesla,78.5
China,CN,2020,9,electric car,0.0
China,CN,2020,10,BYD,0.0
China,CN,2020,10,Tesla,58.75
China,CN,2020,10,electric car,0.0
China,CN,2020,11,BYD,0.0
China,CN,2020,11,Tesla,64.6
China,CN,2020,11,electric car,0.0
China,CN,2020,12,BYD,0.0
China,CN,2020,12,EV charging,0.0
China,CN,2020,12,Tesla,71.4
China,CN,2020,12,electric car,0.0
China,CN,2020,12,electric vehicle,0.0
China,CN,2021,1,BYD,6.4
China,CN,2021,1,EV charging,0.0
China,CN,2021,1,Tesla,79.0
China,CN,2021,1,electric car,0.0
China,CN,2021,1,electric vehicle,0.0
China,CN,2021,2,BYD,3.25
China,CN,2021,2,EV charging,0.0
China,CN,2021,2,Tesla,82.25
China,CN,2021,2,electric car,0.0
China,CN,2021,2,electric vehicle,0.0
China,CN,2021,3,BYD,2.5
China,CN,2021,3,EV charging,0.0
China,CN,2021,3,Tesla,63.75
China,CN,2021,3,electric car,3.25
China,CN,2021,3,electric vehicle,25.0
China,CN,2021,4,BYD,7.25
China,CN,2021,4,EV charging,0.0
China,CN,2021,4,Tesla,57.0
China,CN,2021,4,electric car,0.0
China,CN,2021,4,electric vehicle,0.0
China,CN,2021,5,BYD,1.4
China,CN,2021,5,EV charging,0.0
China,CN,2021,5,Tesla,51.0
China,CN,2021,5,electric car,0.0
China,CN,2021,5,electric vehicle,0.0
China,CN,2021,6,BYD,1.5
China,CN,2021,6,EV charging,0.0
China,CN,2021,6,Tesla,40.75
China,CN,2021,6,electric car,0.0
China,CN,2021,6,electric vehicle,0.0
China,CN,2021,7,BYD,1.75
China,CN,2021,7,EV charging,0.0
China,CN,2021,7,Tesla,41.0
China,CN,2021,7,electric car,0.0
China,CN,2021,7,electric vehicle,0.0
China,CN,2021,8,BYD,6.2
China,CN,2021,8,EV charging,0.0
China,CN,2021,8,Tesla,46.2
China,CN,2021,8,electric car,1.0
China,CN,2021,8,electric vehicle,0.0
China,CN,2021,9,BYD,3.0
China,CN,2021,9,EV charging,0.0
China,CN,2021,9,Tesla,43.25
China,CN,2021,9,electric car,1.5
China,CN,2021,9,electric vehicle,0.0
China,CN,2021,10,BYD,3.2
China,CN,2021,10,EV charging,0.0
China,CN,2021,10,Tesla,50.0
China,CN,2021,10,electric car,1.2
China,CN,2021,10,electric vehicle,0.0
China,CN,2021,11,BYD,5.25
China,CN,2021,11,EV charging,0.0
China,CN,2021,11,Tesla,55.25
China,CN,2021,11,electric car,1.5
China,CN,2021,11,electric vehicle,0.0
China,CN,2021,12,BYD,8.2
China,CN,2021,12,EV charging,0.0
China,CN,2021,12,Tesla,50.6
China,CN,2021,12,electric car,0.0
China,CN,2021,12,electric vehicle,0.0
China,CN,2022,1,BYD,8.0
China,CN,2022,1,EV charging,0.0
China,CN,2022,1,Tesla,79.0
China,CN,2022,1,electric car,0.0
China,CN,2022,1,electric vehicle,0.0
China,CN,2022,2,BYD,13.75
China,CN,2022,2,EV charging,0.0
China,CN,2022,2,Tesla,72.0
China,CN,2022,2,electric car,0.0
China,CN,2022,2,electric vehicle,0.0
China,CN,2022,3,BYD,10.5
China,CN,2022,3,EV charging,0.0
China,CN,2022,3,Tesla,73.75
China,CN,2022,3,electric car,7.25
China,CN,2022,3,electric vehicle,0.0
China,CN,2022,4,BYD,10.75
China,CN,2022,4,EV charging,0.0
China,CN,2022,4,Tesla,76.0
China,CN,2022,4,electric car,4.0
China,CN,2022,4,electric vehicle,25.0
China,CN,2022,5,BYD,10.4
China,CN,2022,5,EV charging,0.0
China,CN,2022,5,Tesla,80.4
China,CN,2022,5,electric car,0.0
China,CN,2022,5,electric vehicle,13.0
China,CN,2022,6,BYD,15.25
China,CN,2022,6,EV charging,0.0
China,CN,2022,6,Tesla,75.5
China,CN,2022,6,electric car,0.0
China,CN,2022,6,electric vehicle,16.75
China,CN,2022,7,BYD,14.2
China,CN,2022,7,EV charging,13.0
China,CN,2022,7,Tesla,66.6
China,CN,2022,7,electric car,3.0
China,CN,2022,7,electric vehicle,0.0
China,CN,2022,8,BYD,14.0
China,CN,2022,8,EV charging,0.0
China,CN,2022,8,Tesla,65.5
China,CN,2022,8,electric car,0.0
China,CN,2022,8,electric vehicle,0.0
China,CN,2022,9,BYD,13.25
China,CN,2022,9,EV charging,0.0
China,CN,2022,9,Tesla,72.75
China,CN,2022,9,electric car,0.0
China,CN,2022,9,electric vehicle,0.0
China,CN,2022,10,BYD,15.6
China,CN,2022,10,EV charging,0.0
China,CN,2022,10,Tesla,81.0
China,CN,2022,10,electric car,3.6
China,CN,2022,10,electric vehicle,0.0
China,CN,2022,11,BYD,15.0
China,CN,2022,11,EV charging,0.0
China,CN,2022,11,Tesla,66.0
China,CN,2022,11,electric car,1.75
China,CN,2022,11,electric vehicle,0.0
China,CN,2022,12,BYD,13.25
China,CN,2022,12,EV charging,0.0
China,CN,2022,12,Tesla,68.5
China,CN,2022,12,electric car,0.0
China,CN,2022,12,electric vehicle,0.0
China,CN,2023,1,BYD,20.6
China,CN,2023,1,EV charging,0.0
China,CN,2023,1,Tesla,81.6
China,CN,2023,1,electric car,0.0
China,CN,2023,1,electric vehicle,0.0
China,CN,2023,2,BYD,15.5
China,CN,2023,2,EV charging,0.0
China,CN,2023,2,Tesla,78.0
China,CN,2023,2,electric car,0.0
China,CN,2023,2,electric vehicle,15.5
China,CN,2023,3,BYD,17.5
China,CN,2023,3,EV charging,0.0
China,CN,2023,3,Tesla,62.25
China,CN,2023,3,electric car,1.5
China,CN,2023,3,electric vehicle,0.0
China,CN,2023,4,BYD,24.2
China,CN,2023,4,EV charging,0.0
China,CN,2023,4,Tesla,66.6
China,CN,2023,4,electric car,2.6
China,CN,2023,4,electric vehicle,12.2
China,CN,2023,5,BYD,21.75
China,CN,2023,5,EV charging,0.0
China,CN,2023,5,Tesla,64.75
China,CN,2023,5,electric car,1.5
China,CN,2023,5,electric vehicle,16.0
China,CN,2023,6,BYD,20.0
China,CN,2023,6,EV charging,0.0
China,CN,2023,6,Tesla,66.5
China,CN,2023,6,electric car,3.5
China,CN,2023,6,electric vehicle,0.0
China,CN,2023,7,BYD,19.8
China,CN,2023,7,EV charging,0.0
China,CN,2023,7,Tesla,67.4
China,CN,2023,7,electric car,3.0
China,CN,2023,7,electric vehicle,0.0
China,CN,2023,8,BYD,20.25
China,CN,2023,8,EV charging,0.0
China,CN,2023,8,Tesla,70.0
China,CN,2023,8,electric car,1.5
China,CN,2023,8,electric vehicle,0.0
China,CN,2023,9,BYD,20.0
China,CN,2023,9,EV charging,0.0
China,CN,2023,9,Tesla,58.75
China,CN,2023,9,electric car,1.5
China,CN,2023,9,electric vehicle,0.0
China,CN,2023,10,BYD,20.6
China,CN,2023,10,EV charging,0.0
China,CN,2023,10,Tesla,59.0
China,CN,2023,10,electric car,2.6
China,CN,2023,10,electric vehicle,21.4
China,CN,2023,11,BYD,21.5
China,CN,2023,11,EV charging,0.0
China,CN,2023,11,Tesla,60.25
China,CN,2023,11,electric car,6.0
China,CN,2023,11,electric vehicle,31.5
China,CN,2023,12,BYD,18.67
China,CN,2023,12,EV charging,0.0
China,CN,2023,12,Tesla,58.33
China,CN,2023,12,electric car,3.83
China,CN,2023,12,electric vehicle,25.5
China,CN,2024,1,BYD,17.5
China,CN,2024,1,EV charging,0.0
China,CN,2024,1,Tesla,48.0
China,CN,2024,1,electric car,2.75
China,CN,2024,1,electric vehicle,0.0
China,CN,2024,2,BYD,18.5
China,CN,2024,2,EV charging,17.5
China,CN,2024,2,Tesla,44.75
China,CN,2024,2,electric car,1.0
China,CN,2024,2,electric vehicle,0.0
China,CN,2024,3,BYD,20.8
China,CN,2024,3,EV charging,0.0
China,CN,2024,3,Tesla,46.4
China,CN,2024,3,electric car,2.0
China,CN,2024,3,electric vehicle,26.6
China,CN,2024,4,BYD,21.75
China,CN,2024,4,EV charging,12.75
China,CN,2024,4,Tesla,55.5
China,CN,2024,4,electric car,4.75
China,CN,2024,4,electric vehicle,0.0
China,CN,2024,5,BYD,23.25
China,CN,2024,5,EV charging,0.0
China,CN,2024,5,Tesla,41.75
China,CN,2024,5,electric car,3.25
China,CN,2024,5,electric vehicle,29.5
China,CN,2024,6,BYD,21.6
China,CN,2024,6,EV charging,0.0
China,CN,2024,6,Tesla,45.4
China,CN,2024,6,electric car,2.6
China,CN,2024,6,electric vehicle,34.2
China,CN,2024,7,BYD,20.25
China,CN,2024,7,EV charging,0.0
China,CN,2024,7,Tesla,45.0
China,CN,2024,7,electric car,1.25
China,CN,2024,7,electric vehicle,36.75
China,CN,2024,8,BYD,19.25
China,CN,2024,8,EV charging,0.0
China,CN,2024,8,Tesla,42.5
China,CN,2024,8,electric car,1.25
China,CN,2024,8,electric vehicle,0.0
China,CN,2024,9,BYD,23.6
China,CN,2024,9,EV charging,0.0
China,CN,2024,9,Tesla,40.2
China,CN,2024,9,electric car,2.4
China,CN,2024,9,electric vehicle,0.0
China,CN,2024,10,BYD,26.25
China,CN,2024,10,EV charging,14.0
China,CN,2024,10,Tesla,66.0
China,CN,2024,10,electric car,0.0
China,CN,2024,10,electric vehicle,32.25
China,CN,2024,11,BYD,21.5
China,CN,2024,11,EV charging,0.0
China,CN,2024,11,Tesla,62.75
China,CN,2024,11,electric car,2.25
China,CN,2024,11,electric vehicle,0.0
China,CN,2024,12,BYD,25.8
China,CN,2024,12,EV charging,0.0
China,CN,2024,12,Tesla,55.0
China,CN,2024,12,electric car,1.0
China,CN,2024,12,electric vehicle,30.2
France,FR,2018,12,BYD,0.0
France,FR,2018,12,EV charging,0.0
France,FR,2018,12,Tesla,35.0
France,FR,2018,12,electric car,1.0
France,FR,2018,12,electric vehicle,0.0
France,FR,2019,1,BYD,0.0
France,FR,2019,1,EV charging,0.0
France,FR,2019,1,Tesla,29.75
France,FR,2019,1,electric car,0.75
France,FR,2019,1,electric vehicle,15.5
France,FR,2019,2,BYD,0.0
France,FR,2019,2,EV charging,0.0
France,FR,2019,2,Tesla,33.75
France,FR,2019,2,electric car,0.5
France,FR,2019,2,electric vehicle,24.0
France,FR,2019,3,BYD,0.0
France,FR,2019,3,EV charging,0.0
France,FR,2019,3,Tesla,38.0
France,FR,2019,3,electric car,0.4
France,FR,2019,3,electric vehicle,20.0
France,FR,2019,4,BYD,0.0
France,FR,2019,4,EV charging,0.0
France,FR,2019,4,Tesla,42.0
France,FR,2019,4,electric car,1.0
France,FR,2019,4,electric vehicle,19.0
France,FR,2019,5,BYD,0.0
France,FR,2019,5,EV charging,0.0
France,FR,2019,5,Tesla,39.5
France,FR,2019,5,electric car,1.0
France,FR,2019,5,electric vehicle,21.5
France,FR,2019,6,BYD,0.0
France,FR,2019,6,EV charging,14.6
France,FR,2019,6,Tesla,39.0
France,FR,2019,6,electric car,1.0
France,FR,2019,6,electric vehicle,29.0
France,FR,2019,7,BYD,0.0
France,FR,2019,7,EV charging,0.0
France,FR,2019,7,Tesla,42.5
France,FR,2019,7,electric car,1.0
France,FR,2019,7,electric vehicle,17.5
France,FR,2019,8,BYD,0.0
France,FR,2019,8,EV charging,0.0
France,FR,2019,8,Tesla,40.25
France,FR,2019,8,electric car,1.0
France,FR,2019,8,electric vehicle,71.75
France,FR,2019,9,BYD,0.0
France,FR,2019,9,EV charging,0.0
France,FR,2019,9,Tesla,44.0
France,FR,2019,9,electric car,1.0
France,FR,2019,9,electric vehicle,27.2
France,FR,2019,10,BYD,0.0
France,FR,2019,10,EV charging,0.0
France,FR,2019,10,Tesla,45.0
France,FR,2019,10,electric car,1.0
France,FR,2019,10,electric vehicle,14.5
France,FR,2019,11,BYD,0.0
France,FR,2019,11,EV charging,0.0
France,FR,2019,11,Tesla,66.25
France,FR,2019,11,electric car,1.0
France,FR,2019,11,electric vehicle,56.25
France,FR,2019,12,BYD,0.0
France,FR,2019,12,EV charging,0.0
France,FR,2019,12,Tesla,60.0
France,FR,2019,12,electric car,1.0
France,FR,2019,12,electric vehicle,21.83
France,FR,2020,1,BYD,0.0
France,FR,2020,1,EV charging,0.0
France,FR,2020,1,Tesla,65.0
France,FR,2020,1,electric car,1.0
France,FR,2020,1,electric vehicle,43.75
France,FR,2020,2,BYD,0.0
France,FR,2020,2,EV charging,0.0
France,FR,2020,2,Tesla,65.5
France,FR,2020,2,electric car,1.0
France,FR,2020,2,electric vehicle,52.75
France,FR,2020,3,BYD,0.0
France,FR,2020,3,EV charging,0.0
France,FR,2020,3,Tesla,45.0
France,FR,2020,3,electric car,0.4
France,FR,2020,3,electric vehicle,33.0
France,FR,2020,4,BYD,0.0
France,FR,2020,4,EV charging,0.0
France,FR,2020,4,Tesla,37.5
France,FR,2020,4,electric car,0.25
France,FR,2020,4,electric vehicle,21.0
France,FR,2020,5,BYD,0.6
France,FR,2020,5,EV charging,0.0
France,FR,2020,5,Tesla,49.2
France,FR,2020,5,electric car,0.8
France,FR,2020,5,electric vehicle,48.4
France,FR,2020,6,BYD,0.75
France,FR,2020,6,EV charging,12.5
France,FR,2020,6,Tesla,63.75
France,FR,2020,6,electric car,1.0
France,FR,2020,6,electric vehicle,17.75
France,FR,2020,7,BYD,0.75
France,FR,2020,7,EV charging,0.0
France,FR,2020,7,Tesla,79.0
France,FR,2020,7,electric car,1.0
France,FR,2020,7,electric vehicle,0.0
France,FR,2020,8,BYD,0.8
France,FR,2020,8,EV charging,0.0
France,FR,2020,8,Tesla,84.6
France,FR,2020,8,electric car,1.0
France,FR,2020,8,electric vehicle,18.0
France,FR,2020,9,BYD,1.0
France,FR,2020,9,EV charging,0.0
France,FR,2020,9,Tesla,81.75
France,FR,2020,9,electric car,1.0
France,FR,2020,9,electric vehicle,14.0
France,FR,2020,10,BYD,0.5
France,FR,2020,10,EV charging,0.0
France,FR,2020,10,Tesla,66.0
France,FR,2020,10,electric car,0.75
France,FR,2020,10,electric vehicle,14.5
France,FR,2020,11,BYD,0.8
France,FR,2020,11,EV charging,0.0
France,FR,2020,11,Tesla,48.6
France,FR,2020,11,electric car,0.8
France,FR,2020,11,electric vehicle,64.6
France,FR,2020,12,BYD,0.4
France,FR,2020,12,EV charging,0.0
France,FR,2020,12,Tesla,52.4
France,FR,2020,12,electric car,0.6
France,FR,2020,12,electric vehicle,25.8
France,FR,2021,1,BYD,0.0
France,FR,2021,1,EV charging,0.0
France,FR,2021,1,Tesla,56.4
France,FR,2021,1,electric car,0.2
France,FR,2021,1,electric vehicle,16.4
France,FR,2021,2,BYD,0.0
France,FR,2021,2,EV charging,0.0
France,FR,2021,2,Tesla,53.75
France,FR,2021,2,electric car,0.5
France,FR,2021,2,electric vehicle,12.5
France,FR,2021,3,BYD,0.0
France,FR,2021,3,EV charging,0.0
France,FR,2021,3,Tesla,50.5
France,FR,2021,3,electric car,0.0
France,FR,2021,3,electric vehicle,26.25
France,FR,2021,4,BYD,0.0
France,FR,2021,4,EV charging,11.0
France,FR,2021,4,Tesla,49.5
France,FR,2021,4,electric car,0.0
France,FR,2021,4,electric vehicle,0.0
France,FR,2021,5,BYD,0.0
France,FR,2021,5,EV charging,0.0
France,FR,2021,5,Tesla,45.8
France,FR,2021,5,electric car,0.4
France,FR,2021,5,electric vehicle,17.2
France,FR,2021,6,BYD,0.0
France,FR,2021,6,EV charging,0.0
France,FR,2021,6,Tesla,42.75
France,FR,2021,6,electric car,0.25
France,FR,2021,6,electric vehicle,14.75
France,FR,2021,7,BYD,0.0
France,FR,2021,7,EV charging,0.0
France,FR,2021,7,Tesla,50.0
France,FR,2021,7,electric car,0.25
France,FR,2021,7,electric vehicle,11.75
France,FR,2021,8,BYD,0.0
France,FR,2021,8,EV charging,0.0
France,FR,2021,8,Tesla,56.4
France,FR,2021,8,electric car,0.4
France,FR,2021,8,electric vehicle,9.6
France,FR,2021,9,BYD,0.0
France,FR,2021,9,EV charging,13.0
France,FR,2021,9,Tesla,50.75
France,FR,2021,9,electric car,0.75
France,FR,2021,9,electric vehicle,35.25
France,FR,2021,10,BYD,0.0
France,FR,2021,10,EV charging,9.0
France,FR,2021,10,Tesla,69.8
France,FR,2021,10,electric car,1.0
France,FR,2021,10,electric vehicle,23.8
France,FR,2021,11,BYD,0.0
France,FR,2021,11,EV charging,0.0
France,FR,2021,11,Tesla,59.75
France,FR,2021,11,electric car,0.5
France,FR,2021,11,electric vehicle,39.75
France,FR,2021,12,BYD,0.0
France,FR,2021,12,EV charging,10.2
France,FR,2021,12,Tesla,71.8
France,FR,2021,12,electric car,0.2
France,FR,2021,12,electric vehicle,0.0
France,FR,2022,1,BYD,0.4
France,FR,2022,1,EV charging,27.6
France,FR,2022,1,Tesla,80.8
France,FR,2022,1,electric car,1.0
France,FR,2022,1,electric vehicle,26.4
France,FR,2022,2,BYD,0.0
France,FR,2022,2,EV charging,31.25
France,FR,2022,2,Tesla,76.0
France,FR,2022,2,electric car,1.0
France,FR,2022,2,electric vehicle,49.5
France,FR,2022,3,BYD,0.25
France,FR,2022,3,EV charging,39.25
France,FR,2022,3,Tesla,89.0
France,FR,2022,3,electric car,1.0
France,FR,2022,3,electric vehicle,78.5
France,FR,2022,4,BYD,0.25
France,FR,2022,4,EV charging,38.0
France,FR,2022,4,Tesla,77.0
France,FR,2022,4,electric car,1.0
France,FR,2022,4,electric vehicle,74.25
France,FR,2022,5,BYD,0.4
France,FR,2022,5,EV charging,28.8
France,FR,2022,5,Tesla,67.0
France,FR,2022,5,electric car,1.0
France,FR,2022,5,electric vehicle,67.4
France,FR,2022,6,BYD,0.5
France,FR,2022,6,EV charging,32.5
France,FR,2022,6,Tesla,66.75
France,FR,2022,6,electric car,1.0
France,FR,2022,6,electric vehicle,51.25
France,FR,2022,7,BYD,1.0
France,FR,2022,7,EV charging,35.6
France,FR,2022,7,Tesla,64.4
France,FR,2022,7,electric car,1.0
France,FR,2022,7,electric vehicle,27.8
France,FR,2022,8,BYD,1.25
France,FR,2022,8,EV charging,65.75
France,FR,2022,8,Tesla,66.25
France,FR,2022,8,electric car,1.0
France,FR,2022,8,electric vehicle,31.0
France,FR,2022,9,BYD,1.0
France,FR,2022,9,EV charging,18.25
France,FR,2022,9,Tesla,58.0
France,FR,2022,9,electric car,1.0
France,FR,2022,9,electric vehicle,35.5
France,FR,2022,10,BYD,2.4
France,FR,2022,10,EV charging,35.4
France,FR,2022,10,Tesla,64.0
France,FR,2022,10,electric car,1.0
France,FR,2022,10,electric vehicle,41.6
France,FR,2022,11,BYD,1.0
France,FR,2022,11,EV charging,42.5
France,FR,2022,11,Tesla,58.0
France,FR,2022,11,electric car,1.0
France,FR,2022,11,electric vehicle,59.25
France,FR,2022,12,BYD,1.0
France,FR,2022,12,EV charging,54.25
France,FR,2022,12,Tesla,64.5
France,FR,2022,12,electric car,1.0
France,FR,2022,12,electric vehicle,12.0
France,FR,2023,1,BYD,1.4
France,FR,2023,1,EV charging,29.4
France,FR,2023,1,Tesla,73.4
France,FR,2023,1,electric car,0.8
France,FR,2023,1,electric vehicle,32.4
France,FR,2023,2,BYD,1.5
France,FR,2023,2,EV charging,35.0
France,FR,2023,2,Tesla,67.25
France,FR,2023,2,electric car,1.0
France,FR,2023,2,electric vehicle,39.75
France,FR,2023,3,BYD,1.25
France,FR,2023,3,EV charging,36.25
France,FR,2023,3,Tesla,69.25
France,FR,2023,3,electric car,1.0
France,FR,2023,3,electric vehicle,33.0
France,FR,2023,4,BYD,2.2
France,FR,2023,4,EV charging,39.4
France,FR,2023,4,Tesla,75.2
France,FR,2023,4,electric car,1.0
France,FR,2023,4,electric vehicle,62.4
France,FR,2023,5,BYD,3.25
France,FR,2023,5,EV charging,64.5
France,FR,2023,5,Tesla,74.25
France,FR,2023,5,electric car,1.0
France,FR,2023,5,electric vehicle,48.5
France,FR,2023,6,BYD,3.0
France,FR,2023,6,EV charging,65.0
France,FR,2023,6,Tesla,79.0
France,FR,2023,6,electric car,1.0
France,FR,2023,6,electric vehicle,61.5
France,FR,2023,7,BYD,2.0
France,FR,2023,7,EV charging,58.2
France,FR,2023,7,Tesla,79.0
France,FR,2023,7,electric car,1.0
France,FR,2023,7,electric vehicle,57.4
France,FR,2023,8,BYD,2.75
France,FR,2023,8,EV charging,80.25
France,FR,2023,8,Tesla,84.75
France,FR,2023,8,electric car,1.0
France,FR,2023,8,electric vehicle,39.25
France,FR,2023,9,BYD,5.0
France,FR,2023,9,EV charging,44.0
France,FR,2023,9,Tesla,82.25
France,FR,2023,9,electric car,1.0
France,FR,2023,9,electric vehicle,55.25
